id_aircraft;n-number;company_id;model_id;engine_id;aircraft_type_id;year
5441;N938FR;90;37;1;1;2005
5442;N938LR;93;119;1;1;2005
5443;N938NN;93;43;1;1;2013
5444;N938SW;79;118;1;1;2003
5445;N938UW;90;103;1;1;1994
5446;N938WN;80;57;1;1;2009
5447;N939AE;16;135;1;1;2005
5448;N939AN;90;43;1;1;2000
5449;N939AT;93;76;1;1;2006
5450;N939FR;90;37;1;1;2005
5451;N939LR;60;119;1;1;2005
5452;N939NN;93;43;1;1;2013
5453;N939SW;79;118;1;1;2003
5454;N939UW;16;103;1;1;1994
5455;N939WN;80;57;1;1;2009
5456;N940AN;90;43;1;1;2000
5457;N940AT;33;76;1;1;1999
5458;N940DN;33;61;1;1;1997
5459;N940NN;93;43;1;1;2013
5460;N940WN;80;57;1;1;2009
5461;N941AN;16;43;1;1;2000
5462;N941DN;33;61;1;1;1997
5463;N941FR;88;37;1;1;2005
5464;N941LT;16;135;1;1;2005
5465;N941NN;93;43;1;1;2013
5466;N941SW;79;118;1;1;2003
5467;N941WN;80;57;1;1;2009
5468;N942AN;16;43;1;1;2000
5469;N942AT;33;76;1;1;1999
5470;N942DN;33;61;1;1;1997
5471;N942JB;48;25;1;1;2014
5472;N942LL;16;135;1;1;2005
5473;N942LR;60;119;1;1;2005
5474;N942NN;93;43;1;1;2013
5475;N942WN;80;57;1;1;2009
5476;N943AN;16;43;1;1;2000
5477;N943AT;33;76;1;1;1999
5478;N943DN;33;61;1;1;1997
5479;N943FR;88;37;1;1;2005
5480;N943JT;48;25;1;1;2014
5481;N943LR;60;119;1;1;2006
5482;N943NN;21;43;1;1;2013
5483;N943SW;79;118;1;1;2003
5484;N943WN;80;57;1;1;2010
5485;N944AN;16;43;1;1;2000
5486;N944AT;33;76;1;1;1999
5487;N944JT;48;25;1;1;2014
5488;N944LR;60;119;1;1;2006
5489;N944NN;93;43;1;1;2014
5490;N944SW;79;118;1;1;2003
5491;N944UW;16;130;1;1;2006
5492;N944WN;80;57;1;1;2010
5493;N945AN;16;43;1;1;2000
5494;N945AT;33;76;1;1;1999
5495;N945DN;33;61;1;1;1998
5496;N945JT;48;25;1;1;2014
5497;N945LR;60;119;1;1;2006
5498;N945NN;93;43;1;1;2014
5499;N945SW;79;118;1;1;2003
